Step,rho_g,rho_p,id,p,deltaG,deltaP
6,1.7868,1.67513,5303,2386,64,60
7,2.03333,1.96667,3283,6452,61,59
8,2.43542,2.47601,2386,3283,60,61
9,2.56667,3.09048,3193,2386,49,59
10,3.56954,4.07947,3019,1645,49,56
11,1.40196,5.06863,8073,3193,13,47
1,3.82963,1.11746,1986,521,329,96
2,1.55357,1.23214,758,5303,87,69
3,1.46801,1.26691,3044,6452,73,63
4,1.50844,0.324895,1126,521,65,14
5,1.5868,1.5868,5996,5996,59,59
6,1.72857,1.69714,6452,2386,55,54
7,2.05085,2.01356,3283,2386,55,54
8,2.46473,2.14523,6330,3019,54,47
9,2.94118,0.411765,1645,521,50,7
10,3.69343,0.562044,3019,521,46,7
11,4.95604,4.95604,3193,3193,41,41
1,3.82963,1.2455,1986,6452,329,107
2,1.55357,1.21429,758,3283,87,68
3,1.52555,1.32482,3044,1645,76,66
4,1.57469,1.41494,1126,2386,69,62
5,1.78095,1.59762,6330,3019,68,61
6,2.0625,1.90625,5303,3019,66,61
7,2.34364,2.38144,5996,1126,62,63
8,2.89474,0.385965,6452,521,60,8
9,3.20833,4.05952,3193,5303,49,62
10,2.03361,5.54622,7462,5303,22,60
11,1.67797,10.8136,6880,5996,9,58
1,3.82963,1.17566,1986,3193,329,101
2,1.55357,1.05357,758,3193,87,59
3,1.35161,1.31002,937,5996,65,63
4,1.375,0.948276,2530,3019,58,40
5,1.38177,0.37931,5996,521,51,14
6,1.39437,1.27042,3283,3193,45,41
7,1.59677,1.59677,1126,1126,45,45
8,1.82642,1.3283,6452,3019,44,32
9,2.03004,2.03004,6330,6330,43,43
10,2.43158,2.43158,5303,5303,42,42
11,2.89865,3.0473,1645,6452,39,41
1,3.82963,1.2455,1986,6452,329,107
2,1.55357,1.05357,758,3193,87,59
3,1.54039,1.22442,5279,6452,78,62
4,1.6,1.48889,5996,1645,72,67
5,1.71631,1.50827,6330,3019,66,58
6,2.0028,1.78711,3283,3019,65,58
7,2.31773,2.31773,5303,1645,63,63
8,2.84322,2.65678,2386,1126,61,57
9,3.7486,3.7486,1645,1645,61,61
10,1.49153,5.5,6880,3283,16,59
11,1.67797,10.8136,782,2386,9,58
1,3.82963,1.19894,1986,2386,329,103
2,1.55357,1.10714,758,3019,87,62
3,1.35161,0.353497,937,521,65,17
4,1.375,1.32759,2530,1126,58,56
5,1.42892,1.2402,5996,2386,53,46
6,1.58011,1.58011,6330,6330,52,52
7,1.73871,1.38387,6452,3019,49,39
8,1.98893,1.90775,5303,1645,49,47
9,2.37838,2.32883,3283,6452,48,47
10,2.76571,2.38857,1645,3193,44,38
11,3.19084,0.251908,3193,521,38,3
1,3.82963,1.19894,1986,2386,329,103
2,1.55357,1.05357,758,3193,87,59
3,1.54039,1.30341,5279,1126,78,66
4,1.44676,1.28601,937,6452,63,56
5,1.45433,1.34856,2530,1126,55,51
6,1.4626,1.21884,5996,2386,48,40
7,1.58147,1.44089,3283,1126,45,41
8,1.77941,1.73897,1645,6330,44,43
9,2.02632,1.88158,6330,2386,42,39
10,2.26984,2.26984,6452,6452,39,39
11,2.71333,3.00667,5303,6330,37,41
1,3.82963,1.17566,1986,3193,329,101
2,1.55357,1.05357,758,3193,87,59
3,1.35161,1.08129,937,3193,65,52
4,1.45283,1.36059,5996,1645,63,59
5,1.51449,1.27536,6330,3019,57,48
6,1.72549,1.69468,5303,6452,56,55
7,2.03974,2.03974,1126,1126,56,56
8,2.36992,2.0122,3283,3019,53,45
9,2.84974,0.455959,1645,521,50,8
10,2.85405,2.85405,2386,2386,48,48
11,3.29197,3.85401,3019,1645,41,48
1,3.82963,1.23386,1986,3283,329,106
2,1.55357,1.05357,758,3193,87,59
3,1.35161,1.08129,937,3193,65,52
4,1.375,1.18534,2530,6452,58,50
5,1.48792,1.30193,1126,5303,56,49
6,1.65753,1.41644,5996,2386,55,47
7,1.77419,1.63226,6330,1645,50,46
8,2.03077,2.03077,3283,3283,48,48
9,2.38679,2.23113,2386,3193,46,43
10,2.79882,3.12426,1645,1126,43,48
11,3.14286,3.84127,3019,2386,36,44
1,3.82963,1.21058,1986,1126,329,104
2,1.55357,1.25,758,1645,87,70
3,1.35161,1.24764,937,6330,65,60
4,1.375,1.18534,2530,3283,58,50
5,1.48792,1.38164,5996,6330,56,52
6,1.67127,1.64088,1126,5996,55,54
7,1.7557,1.71987,6452,5303,49,48
8,2.00388,2.13178,5303,5996,47,50
9,2.37981,2.48558,2386,5303,45,47
10,2.93789,2.73292,1645,3193,43,40
11,3.72881,4.10169,3193,2386,40,44
1,3.82963,1.2455,1986,1645,329,107
2,1.55357,1.25,758,6330,87,70
3,1.35161,1.10208,937,2386,65,53
4,1.375,1.18534,2530,1645,58,50
5,1.38177,1.30049,5996,1126,51,48
6,1.38268,1.47486,6452,5996,45,48
7,1.59677,1.59677,3283,3283,45,45
8,1.78491,1.7434,6330,5303,43,42
9,2.08108,1.88288,5303,3193,42,38
10,2.44444,0.427778,1645,521,40,7
11,2.3526,1.78035,2386,3019,37,28
1,3.82963,1.17566,1986,3193,329,101
2,1.55357,1.05357,758,3193,87,59
3,1.35161,1.22684,937,1645,65,59
4,1.375,0.948276,2530,3019,58,40
5,1.42689,1.42689,5996,5996,55,55
6,1.55014,1.55014,1126,1126,52,52
7,1.73502,1.73502,6330,3283,50,50
8,2.01873,0.205993,5303,521,49,5
9,2.42202,0.201835,3283,521,48,4
10,2.97647,2.84706,6452,1645,46,44
11,3.84127,3.84127,2386,6452,44,44
1,3.82963,1.2455,1986,6452,329,107
2,1.55357,1.23214,758,5303,87,69
3,1.35161,1.24764,937,6330,65,60
4,1.375,1.32759,2530,1126,58,56
5,1.42892,1.2402,5996,2386,53,46
6,1.58011,0.425414,6330,521,52,14
7,1.73871,1.70323,6452,1645,49,48
8,2.06513,1.60153,3283,3019,49,38
9,2.43868,2.12736,5303,3193,47,41
10,2.76608,2.38012,1645,3019,43,37
11,1.5597,3.44776,3044,1645,19,42
1,3.82963,1.15238,1986,5996,329,99
2,1.55357,1.21429,758,3283,87,68
3,1.52555,1.32482,3044,1645,76,66
4,1.57469,1.34647,1126,3193,69,59
5,1.7845,0.479419,6330,521,67,18
6,2.06647,1.81214,5303,3019,65,57
7,2.3218,2.3218,5996,2386,61,61
8,2.89474,3.03947,6452,5303,60,63
9,3.8631,3.99405,2386,5303,59,61
10,4.93458,4.93458,3193,3193,48,48
11,1.67797,0.372881,782,521,9,2
1,3.82963,1.19894,1986,2386,329,103
2,3.64489,1.28029,3044,3193,279,98
3,1.69982,1.38721,5279,6452,87,71
4,1.47899,1.36345,6452,1645,64,59
5,1.66187,0.263789,1126,521,63,10
6,1.70904,1.89548,6330,6452,55,61
7,1.98662,1.69231,3019,5996,54,46
8,2.26087,0.347826,5303,521,52,8
9,2.57214,0.328358,3283,521,47,6
10,3.35714,3.35714,3193,3193,47,47
11,1.64486,5.24299,937,3019,16,51
1,3.82963,1.23386,1986,3283,329,106
2,1.55357,1.23214,758,5303,87,69
3,1.46801,1.34735,3044,3283,73,67
4,1.50844,1.32278,1126,1645,65,57
5,1.55635,1.39808,5996,6452,59,53
6,1.69231,1.60165,6330,3283,56,53
7,2,1.85714,2386,3019,56,52
8,2.26984,2.26984,3019,3019,52,52
9,2.805,2.42,3283,3193,51,44
10,3.24832,3.24832,3193,3193,44,44
11,1.46667,0.209524,8073,521,14,2
1,3.82963,1.15238,1986,6330,329,99
2,1.55357,1.25,758,1126,87,70
3,1.65201,1.41026,3044,1645,82,70
4,1.39871,1.35129,5996,6330,59,57
5,1.54815,1.49383,6452,6330,57,55
6,1.72857,1.72857,5303,5303,55,55
7,2.01356,2.01356,3283,3283,54,54
8,2.41909,2.19087,2386,3019,53,48
9,2.73575,3.02073,1645,2386,48,53
10,3.37857,3.37857,3193,3193,43,43
11,1.47423,5.78351,937,6452,13,51
Step,rho_g,rho_p,id,p,deltaG,deltaP
1,4.17336,1.25581,1986,6330,329,99
2,1.69206,1.20583,758,3019,87,62
3,1.70811,1.51351,3044,6330,79,70
4,1.56303,1.56303,1126,1126,62,62
5,1.65217,1.65217,6452,6452,57,57
6,1.91597,1.51261,3283,3193,57,45
7,2.2,1.8,6330,3193,55,45
8,2.69388,2.49796,2386,5303,55,51
9,3.22105,3.03158,5996,1645,51,48
10,4.40288,3.97122,5303,1645,51,46
11,6.13636,6.13636,1645,1645,45,45
12,11.4419,0.55814,3193,6393,41,2
1,4.17336,1.14165,1986,8073,329,90
2,1.69206,1.34198,758,5303,87,69
3,1.59854,1.37956,3044,6452,73,63
4,1.7567,1.7567,5996,5996,71,71
5,1.94203,0.347826,6330,6393,67,12
6,2.24784,2.21326,1126,3283,65,64
7,2.58657,2.45936,2386,1645,61,58
8,3.13514,3.13514,3019,3019,58,58
9,4.09756,1.53659,1645,8073,56,21
10,3.94406,0.41958,3193,6393,47,5
11,1.625,0.5,2530,6393,13,4
12,1.73494,5.63855,7462,1126,12,39
1,4.17336,1.14165,1986,8073,329,90
2,1.69206,1.14749,758,3193,87,59
3,1.67742,1.33333,5279,6452,78,62
4,1.575,1.425,937,1126,63,57
5,1.75887,1.53191,1645,2386,62,54
6,1.88618,1.88618,6330,6330,58,58
7,2.16077,2.12219,3283,5996,56,55
8,2.53125,2.53125,6452,6452,54,54
9,2.9703,2.9703,5303,5303,50,50
10,3.71053,0.315789,3019,6393,47,4
11,1.86486,4.37838,6880,1645,23,54
12,1.65957,1.40426,2530,8073,13,11
1,4.17336,1.30655,1986,3019,329,103
2,1.69206,1.32253,758,3283,87,68
3,1.4717,1.2,937,2386,65,53
4,1.55975,1.38365,5996,3283,62,55
5,1.70602,1.67711,1126,5303,59,58
6,1.95506,0.337079,6452,6393,58,10
7,1.97688,1.97688,6330,6330,57,57
8,2.24221,2.24221,1645,1645,54,54
9,2.65532,1.42979,5303,8073,52,28
10,3.01639,1.44262,3283,8073,46,22
11,2.98137,3.35404,3193,6452,40,45
12,3.86777,3.86777,3019,3019,39,39
1,4.17336,1.14165,1986,8073,329,90
2,1.69206,0.447326,758,6393,87,23
3,1.61616,1.23232,3044,6452,80,61
4,1.5642,1.16732,2530,3193,67,50
5,1.50336,1.50336,5996,5996,56,56
6,1.56522,1.31969,1126,3193,51,43
7,1.68966,1.58621,1645,2386,49,46
8,1.86755,1.90728,3283,1126,47,48
9,2.17323,1.37008,6452,8073,46,29
10,2.53846,2.71154,6330,1645,44,47
11,3.07317,1.60976,5303,8073,42,22
12,2.70423,3.04225,3019,5303,32,36
1,4.17336,1.35729,1986,6452,329,107
2,1.69206,1.26418,758,6452,87,65
3,1.71739,1.52174,3044,1126,79,70
4,1.71784,1.14523,5996,8073,69,46
5,1.91768,1.5109,6330,3193,66,52
6,2.24784,2.10951,5303,2386,65,61
7,2.68085,2.08511,3283,3193,63,49
8,3.28767,0.328767,2386,6393,60,6
9,4.30189,4.30189,1645,1645,57,57
10,6.23529,5.64706,3019,3193,53,48
11,2.22222,11.5556,7462,3019,10,52
12,2.45455,0.545455,2530,6393,9,2
1,4.17336,1.25581,1986,6330,329,99
2,1.69206,1.36143,758,1645,87,70
3,1.66728,1.33821,5279,3019,76,61
4,1.7037,1.55556,6330,2386,69,63
5,1.87234,1.61702,5996,3193,66,57
6,2.18487,2.05042,5303,6452,65,61
7,2.50685,0.452055,1126,6393,61,11
8,2.47687,1.32384,3283,8073,58,31
9,2.352,2.928,6452,6330,49,61
10,2.80597,3.04478,3193,3283,47,51
11,1.79221,3.97403,3044,3283,23,51
12,1.86408,6.75728,2530,6330,16,58
1,4.17336,1.25581,1986,6330,329,99
2,1.69206,0.447326,758,6393,87,23
3,1.4717,1.42642,937,1126,65,63
4,1.54176,1.51606,5996,1645,60,59
5,1.70588,1.38235,6330,3019,58,47
6,1.82825,1.69529,6452,2386,55,51
7,2.07843,1.80392,5303,3193,53,46
8,2.41897,2.08696,3283,3193,51,44
9,2.9703,2.9703,2386,2386,50,50
10,3.39474,3.39474,3193,3193,43,43
11,1.76147,1.10092,7462,8073,16,10
12,1.29032,0,8073,6393,10,0
1,4.17336,1.28118,1986,3193,329,101
2,3.99053,1.40592,3044,1126,281,99
3,1.87234,1.12766,758,8073,88,53
4,1.58824,0.428571,1126,6393,63,17
5,1.71429,1.45278,6452,3019,59,50
6,1.95041,1.85124,3283,5996,59,56
7,2.11075,2.2671,1645,3283,54,58
8,2.40964,2.74699,6330,6452,50,57
9,3.01508,2.95477,2386,5303,50,49
10,3.94631,3.86577,5303,1645,49,48
11,1.44,0.72,937,6393,12,6
12,1.5,0.954545,6880,8073,11,7
1,4.17336,1.31924,1986,1126,329,104
2,1.69206,1.41977,758,5996,87,73
3,1.4717,1.42642,937,5996,65,63
4,1.54176,1.54176,1126,1126,60,60
5,1.71007,1.68059,6452,5303,58,57
6,1.9255,1.89112,6330,5303,56,55
7,2.25256,0.327645,5303,6393,55,8
8,2.62185,0.201681,3283,6393,52,4
9,3.22581,3.16129,2386,1645,50,49
10,3.85401,1.13869,3193,8073,44,13
11,5.54839,1.16129,3019,8073,43,9
12,1.92,11.52,3026,2386,8,48
1,4.17336,1.28118,1986,3193,329,101
2,1.69206,1.34198,758,5303,87,69
3,1.59854,1.13869,3044,8073,73,52
4,1.62097,1.25806,5996,3193,67,52
5,1.76224,1.59441,6330,1645,63,57
6,1.90164,0.491803,2386,6393,58,15
7,2.18182,2.14286,3283,6452,56,55
8,2.61905,2.38095,6452,3193,55,50
9,3.20792,3.0297,3019,1126,54,51
10,4.05405,0.567568,1645,6393,50,7
11,5.7551,5.7551,1126,1126,47,47
12,2.11765,11.7647,7462,6452,9,50
1,4.17336,1.10359,1986,6393,329,87
2,1.69206,1.26418,758,6452,87,65
3,1.71739,1.56522,3044,5996,79,72
4,1.67442,1.36998,1126,5303,66,54
5,1.71007,1.4742,5996,3019,58,50
6,1.91597,0.302521,3283,6393,57,9
7,2.2,2.2,6330,2386,55,55
8,2.49796,2.49796,5303,5303,51,51
9,2.96907,1.23711,1645,8073,48,20
10,2.68966,0.275862,3193,6393,39,4
11,1.51111,0.266667,5279,6393,17,3
12,1.42373,3.76271,937,1645,14,37
1,4.17336,1.30655,1986,2386,329,103
2,1.69206,1.26418,758,6452,87,65
3,1.4717,1.35849,937,6330,65,60
4,1.49677,1.2129,2530,3193,58,47
5,1.50369,1.2973,5996,5303,51,44
6,1.51685,1.51685,3283,3283,45,45
7,1.73633,1.65916,1126,5303,45,43
8,1.97015,1.74627,6330,3193,44,39
9,2.14847,2.14847,6452,1645,41,41
10,2.29787,2.74468,2386,6330,36,43
11,2.44737,3.23684,3019,1126,31,41
12,1.72973,1.18919,7462,8073,16,11
1,4.17336,1.14165,1986,8073,329,90
2,1.69206,0.447326,758,6393,87,23
3,1.4717,1.33585,937,1645,65,59
4,1.49677,1.44516,2530,5996,58,56
5,1.50369,1.32678,5996,1645,51,45
6,1.51685,1.51685,3283,1126,45,45
7,1.69775,1.65916,6452,6330,44,43
8,1.88764,0.269663,6330,6393,42,6
9,2.24,2.18667,5303,1645,42,41
10,2.41304,2.41304,2386,2386,37,37
11,2.85714,3.42857,3193,5303,35,42
12,3.10714,1.5,3019,8073,29,14
1,4.17336,1.34461,1986,3283,329,106
2,1.69206,1.20583,758,3019,87,62
3,1.4717,1.13208,937,3019,65,50
4,1.49677,1.29032,2530,3283,58,50
5,1.50369,1.14988,5996,2386,51,39
6,1.51685,1.2809,3283,2386,45,38
7,1.73633,1.46624,1126,2386,45,38
8,1.93407,1.75824,6452,3193,44,40
9,2.25328,2.04367,6330,1645,43,39
10,2.70968,2.45161,5303,3193,42,38
11,3.08108,3.24324,1645,5303,38,40
12,3.27273,4.47273,3019,1126,30,41
1,4.17336,1.34461,1986,3283,329,106
2,1.69206,1.16694,758,8073,87,60
3,1.72352,1.14183,3044,3193,80,53
4,1.55975,1.33333,2530,6330,62,53
5,1.61321,1.35849,1126,5303,57,48
6,1.75532,1.40426,5996,3193,55,44
7,1.87952,0.39759,2386,6393,52,11
8,2.14286,2.14286,6452,6452,50,50
9,2.55652,2.50435,3283,3019,49,48
10,2.96703,2.96703,1645,1645,45,45
11,1.57664,4.20438,8978,5996,18,48
12,1.61798,0.674157,782,6393,12,5
1,4.17336,1.30655,1986,3019,329,103
2,1.69206,1.41977,758,5996,87,73
3,1.65441,1.45588,3044,3283,75,66
4,1.68201,1.68201,6330,6330,67,67
5,1.9562,1.25547,5303,8073,67,43
6,2.23256,2.12791,1126,6452,64,61
7,2.61429,2.35714,6452,3019,61,55
8,3.2,0.373333,2386,6393,60,7
9,4.21818,4.21818,1645,1645,58,58
10,5.60748,0.672897,3193,6393,50,6
11,2.10526,1.26316,7462,8073,10,6
12,2.04255,12,8978,6452,8,47
1,4.17336,1.30655,1986,3019,329,103
2,1.69206,1.36143,758,1126,87,70
3,1.7989,1.51371,3044,6330,82,69
4,1.52258,1.47097,5996,3283,59,57
5,1.68473,1.44828,6452,3019,57,49
6,1.9255,1.65043,3283,3019,56,48
7,2.17065,2.17065,6330,6330,53,53
8,2.65,2.4,2386,3019,53,48
9,3.3369,3.01604,5303,1645,52,47
10,4.02857,1.28571,3019,8073,47,15
11,5.54839,0.645161,3193,6393,43,5
12,1.77273,5.72727,2530,3193,13,42
1,4.17336,1.35729,1986,1645,329,107
2,3.99046,1.47318,3044,1126,279,103
3,3.94565,1.17391,7462,8073,242,72
4,1.9919,1.57895,758,5303,82,65
5,1.93007,1.93007,2386,2386,69,69
6,2.2,0.466667,6330,6393,66,14
7,2.61224,2.4898,3283,3193,64,61
8,3.23478,0.573913,6452,6393,62,11
9,4.35714,3.71429,3019,5996,61,52
10,5.89655,1.13793,3193,8073,57,11
11,2.84746,0.813559,6880,6393,14,4
12,2.4,1.30909,7705,8073,11,6
1,4.17336,1.34461,1986,3283,329,106
2,1.69206,1.36143,758,1645,87,70
3,1.66728,1.53565,5279,5996,76,70
4,1.52866,1.3758,2530,2386,60,54
5,1.54745,1.51825,937,1126,53,52
6,1.70474,1.43733,6330,3193,51,43
7,1.87013,1.87013,6452,6452,48,48
8,2.16923,2.16923,5996,3283,47,47
9,2.64789,2.25352,2386,3019,47,40
10,3.19075,3.26012,3283,2386,46,47
11,4.09524,0.380952,5303,6393,43,4
12,5.3494,5.3494,3193,3193,37,37
1,4.17336,1.35729,1986,1645,329,107
2,1.69206,1.41977,758,5996,87,73
3,1.4717,1.42642,937,5996,65,63
4,1.54176,1.33619,1126,2386,60,52
5,1.71007,1.44472,6452,3193,58,49
6,1.87709,1.81006,6330,3283,56,54
7,2.13158,2.21053,5303,6452,54,56
8,2.496,1.2,1645,8073,52,25
9,2.90909,2.66667,2386,3019,48,44
10,1.48052,3.97403,2530,6452,19,51
11,1.28155,5.59223,3044,2386,11,48
12,1.52727,11.5636,7462,6330,7,53
1,4.17336,1.14165,1986,8073,329,90
2,1.69206,1.34198,758,5303,87,69
3,1.59854,1.46715,3044,3283,73,67
4,1.74636,1.52183,5996,3019,70,61
5,1.97143,1.82857,6330,1126,69,64
6,2.1236,2.29213,1645,6330,63,68
7,2.58333,2.54167,2386,6452,62,61
8,3.23894,3.23894,6452,6452,61,61
9,3.41818,3.41818,3193,3193,47,47
10,2.0339,5.89831,7462,1645,20,58
11,1.8,11.6,6880,5996,9,58
12,12,6,6709,6393,2,1
1,4.17336,1.25581,1986,6330,329,99
2,1.69206,0.447326,758,6393,87,23
3,1.4717,1.33585,937,6452,65,59
4,1.6051,1.6051,1126,1126,63,63
5,1.73529,1.38235,5996,3019,59,47
6,1.92798,1.52909,6330,3193,58,46
7,2.13861,1.78218,5303,3193,54,45
8,2.55422,2.55422,3283,3283,53,53
9,3.12245,2.63265,2386,3193,51,43
10,4.05517,1.4069,1645,8073,49,17
11,3.5625,0.09375,3193,6393,38,1
12,1.73333,5.6,7462,1645,13,42
1,4.17336,1.30655,1986,2386,329,103
2,1.69206,1.36143,758,1126,87,70
3,1.7989,1.20658,3044,3193,82,55
4,1.52258,1.49677,5996,6452,59,58
5,1.68059,1.65111,3283,6330,57,56
6,1.91453,1.7094,2386,3019,56,50
7,2.15593,2.15593,5303,1645,53,53
8,2.42975,2.57851,3019,5996,49,52
9,2.67358,3.17098,3193,5303,43,51
10,1.44,4.08,8073,3283,18,51
11,1.45455,5.93939,4905,5996,12,49
12,1.51724,0.551724,7462,6393,11,4
1,4.17336,1.35729,1986,6452,329,107
2,4.03337,1.48749,3044,1645,282,104
3,1.93896,1.52962,5279,3019,90,71
4,1.77778,1.77778,3283,3283,72,72
5,2,1.82609,1126,2386,69,63
6,2.1913,1.94783,6330,5303,63,56
7,2.57439,2.44983,2386,1645,62,59
8,3.02609,3.23478,5996,6330,58,62
9,3.83721,4.18605,3193,6330,55,60
10,1.60714,5.78571,7906,3193,15,54
11,1.65517,0.206897,6469,6393,8,1
12,1.68,11.76,3026,2386,7,49
1,4.17336,1.35729,1986,1645,329,107
2,1.69206,1.26418,758,6452,87,65
3,1.4717,1.31321,937,5303,65,58
4,1.49677,1.29032,2530,3283,58,50
5,1.61928,1.61928,5996,5996,56,56
6,1.77159,1.57103,1126,3193,53,47
7,1.92308,1.46154,6330,3019,50,38
8,2.15267,2.06107,5303,2386,47,45
9,2.51163,2.51163,6452,6452,45,45
10,3.17647,3.38824,2386,1126,45,48
11,4.032,4.512,1645,1126,42,47
12,5.20482,5.20482,3019,3019,36,36
1,4.17336,1.25581,1986,5996,329,99
2,1.69206,1.36143,758,6330,87,70
3,1.4717,1.17736,937,3193,65,52
4,1.58159,1.48117,5996,6330,63,59
5,1.68974,1.74702,1126,5996,59,61
6,1.93333,1.8,1645,3283,58,54
7,2.19608,2.19608,6452,6452,56,56
8,2.496,2.688,5303,5996,52,56
9,3.0303,3.39394,2386,5996,50,56
10,3.71831,0.169014,3019,6393,44,2
11,1.59184,5.87755,3026,1645,13,48
12,1.68,1.2,2530,8073,7,5
1,4.17336,1.25581,1986,5996,329,99
2,1.69206,1.41977,758,5996,87,73
3,1.65441,1.32353,3044,3019,75,60
4,1.68595,1.26446,6330,8073,68,51
5,1.93269,1.78846,5303,6452,67,62
6,2.20339,2.20339,3283,3283,65,65
7,2.53287,2.65744,2386,5303,61,64
8,3.15789,1.52632,1126,8073,60,29
9,4.14286,0.642857,1645,6393,58,9
10,5.34545,0.872727,3193,6393,49,8
11,2.55738,1.37705,1636,6393,13,7
12,1.75,1.25,2530,8073,7,5
1,4.17336,1.25581,1986,5996,329,99
2,4.03778,1.16175,3044,6393,285,82
3,1.879,1.53737,758,1126,88,72
4,1.76327,1.12653,5279,8073,72,46
5,1.78378,1.59459,6452,1645,66,59
6,2,1.84127,3283,6330,63,58
7,2.28571,0.533333,3019,6393,60,14
8,2.63529,2.21176,6330,5303,56,47
9,3.23077,2.94231,2386,1645,56,51
10,3.82166,0.229299,3193,6393,50,3
11,1.79439,5.83178,4905,2386,16,52
12,1.84615,0.263736,937,6393,14,2
1,4.17336,1.25581,1986,6330,329,99
2,1.69206,1.14749,758,3193,87,59
3,1.67742,1.35484,5279,2386,78,63
4,1.72121,1.72121,5996,5996,71,71
5,1.89623,1.86792,6330,5303,67,66
6,2.14525,1.27374,3283,8073,64,38
7,2.44898,2.40816,1645,6452,60,59
8,3.07692,3.07692,1126,1126,60,60
9,3.93103,1.03448,6452,8073,57,15
10,5.33333,1.02564,3019,8073,52,10
11,2.13084,0.560748,3044,6393,19,5
12,2.18182,5.59091,2530,3019,16,41
1,4.17336,1.31924,1986,1126,329,104
2,1.69206,1.26418,758,6452,87,65
3,1.4717,1.42642,937,5996,65,63
4,1.54176,1.54176,1126,1126,60,60
5,1.71007,1.2973,6452,8073,58,44
6,1.9255,1.9255,6330,6330,56,56
7,2.25256,2.08874,5303,2386,55,51
8,2.57851,2.2314,3283,3193,52,45
9,3.09474,2.84211,1645,3193,49,45
10,3.72414,4.30345,3019,5303,45,52
11,1.8,1.68,3044,8073,15,14
12,1.69412,6.07059,8073,5303,12,43
1,4.17336,1.30655,1986,2386,329,103
2,1.69206,1.36143,758,1645,87,70
3,1.66728,1.40402,5279,3283,76,64
4,1.52866,1.40127,2530,6452,60,55
5,1.54745,1.43066,937,6452,53,49
6,1.72376,1.45856,5996,3193,52,44
7,1.89677,1.23871,6330,8073,49,32
8,2.2069,2.2069,1126,1126,48,48
9,2.64789,2.64789,2386,2386,47,47
10,3.25301,0.361446,3283,6393,45,5
11,4.26446,4.26446,5303,5303,43,43
12,6,1.07692,3019,8073,39,7
1,4.17336,1.30655,1986,3019,329,103
2,1.69206,1.24473,758,2386,87,64
3,1.71429,1.21519,3044,8073,79,56
4,1.69014,1.44869,7462,3283,70,60
5,1.75744,0.576659,6330,6393,64,21
6,1.81731,1.55769,5996,5303,63,54
7,1.83569,1.76771,6452,3019,54,52
8,2.07309,2.07309,5303,5303,52,52
9,2.40964,2.40964,1645,1126,50,50
10,2.65327,3.07538,3193,6452,44,51
11,1.62581,4.56774,6880,6330,21,59
12,1.52239,3.76119,937,1645,17,42
1,4.17336,1.30655,1986,2386,329,103
2,1.69206,1.36143,758,1126,87,70
3,1.7989,1.53565,3044,5996,82,70
4,1.68553,1.40881,6330,3019,67,56
5,1.88124,0.456057,5303,6393,66,16
6,2.16338,2.26479,3283,6330,64,67
7,2.625,2.54167,1645,2386,63,61
8,3.17181,3.27753,6452,1645,60,62
9,3.37725,1.43713,3193,8073,47,20
10,2.2,0.4,6880,6393,22,4
11,1.83673,0.367347,8073,6393,15,3
12,1.59036,6.07229,937,1645,11,42
1,4.17336,1.35729,1986,6452,329,107
2,1.69206,1.14749,758,3193,87,59
3,1.4717,1.26792,937,3283,65,56
4,1.49677,1.44516,2530,5996,58,56
5,1.50369,1.32678,5996,6452,51,45
6,1.59116,1.29282,1126,3193,48,39
7,1.71975,1.71975,3283,3283,45,45
8,1.96283,2.09665,6330,5996,44,47
9,2.18667,2.13333,5303,1645,41,40
10,2.6087,2.93478,1645,5996,40,45
11,3.28058,1.29496,2386,8073,38,15
12,3.92079,3.68317,3193,3019,33,31
1,4.17336,1.10359,1986,6393,329,87
2,3.6461,1.32712,3044,3193,261,95
3,1.66555,1.28428,5279,5996,83,64
4,1.49126,1.30485,937,3019,64,56
5,1.59477,1.59477,6452,6452,61,61
6,1.77889,1.32663,1126,8073,59,44
7,1.9115,1.66372,3283,5996,54,47
8,2.23158,1.93684,2386,5996,53,46
9,2.68966,2.37931,6330,5996,52,46
10,3.03226,2.90323,5303,1645,47,45
11,3.91489,3.91489,3193,5303,46,46
12,1.64211,6.18947,4905,6330,13,49
1,4.17336,1.10359,1986,6393,329,87
2,1.69206,1.36143,758,1645,87,70
3,1.4717,0.29434,937,6393,65,13
4,1.49677,1.36774,2530,6330,58,53
5,1.60194,1.36893,1126,8073,55,47
6,1.71429,1.31092,5996,3019,51,39
7,1.92157,1.88235,5303,6452,49,48
8,2.24125,0.233463,3283,6393,48,5
9,2.69856,0.172249,6452,6393,47,3
10,3.33333,1.40741,2386,8073,45,19
11,4.30769,1.53846,1645,8073,42,15
12,4.11765,3.88235,3193,3019,35,33
1,4.17336,1.28118,1986,3193,329,101
2,1.69206,1.34198,758,5303,87,69
3,1.4717,1.42642,937,5996,65,63
4,1.54176,1.31049,1126,8073,60,51
5,1.55769,1.32692,6330,3193,54,46
6,1.69061,1.49171,6452,3193,51,45
7,1.89068,1.73633,5303,1645,49,45
8,2.1203,1.98496,2386,3283,47,44
9,2.37838,2.32432,3193,3019,44,43
10,2.83146,3.16854,3019,5303,42,47
11,1.76471,4.05882,2530,1126,20,46
12,1.73333,5.86667,782,2386,13,44
1,4.17336,1.35729,1986,6452,329,107
2,1.69206,1.41977,758,5996,87,73
3,1.4717,0.29434,937,6393,65,13
4,1.49677,1.03226,2530,3019,58,40
